model,K,spk,local_t,clip_index,source_path,source_exact_count,source_payload_attempts,gi,method,ASR,R3_escape,R5_escape,ACC_near,ACC_near_norm,AggResid,PESQ,STOI,SI_SDR
wmcodec,2,chinese:SSB0316,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_01.wav,2,3,96,mean,1,1,1,10,0.6250,0.562500,4.2567,0.9896,16.58
wmcodec,2,chinese:SSB0316,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_02.wav,2,3,97,mean,1,1,1,11,0.6875,0.500000,4.3244,0.9879,15.19
wmcodec,2,chinese:SSB0316,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0316/chinese_SSB0316_03.wav,2,4,98,mean,1,1,1,10,0.6250,0.375000,4.3245,0.9884,14.61
wmcodec,2,chinese:SSB0323,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_01.wav,2,2,99,mean,1,1,1,10,0.6250,0.312500,4.4162,0.9916,17.36
wmcodec,2,chinese:SSB0323,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_02.wav,2,5,100,mean,1,1,1,12,0.7500,0.500000,4.3901,0.9904,17.16
wmcodec,2,chinese:SSB0323,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0323/chinese_SSB0323_03.wav,2,2,101,mean,1,1,1,10,0.6250,0.375000,4.3662,0.9894,16.13
wmcodec,2,chinese:SSB0338,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0338/chinese_SSB0338_01.wav,2,3,102,mean,1,1,1,6,0.3750,0.625000,4.3415,0.9904,16.25
wmcodec,2,chinese:SSB0338,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0338/chinese_SSB0338_02.wav,2,3,103,mean,1,1,1,14,0.8750,0.687500,4.3888,0.9891,16.44
wmcodec,2,chinese:SSB0338,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0338/chinese_SSB0338_03.wav,2,2,104,mean,1,1,1,12,0.7500,0.437500,4.3610,0.9900,13.85
wmcodec,2,chinese:SSB0339,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0339/chinese_SSB0339_01.wav,2,4,105,mean,1,1,1,10,0.6250,0.437500,4.2021,0.9836,15.94
wmcodec,2,chinese:SSB0339,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0339/chinese_SSB0339_02.wav,2,4,106,mean,1,1,1,12,0.7500,0.625000,4.1239,0.9854,15.14
wmcodec,2,chinese:SSB0339,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0339/chinese_SSB0339_03.wav,2,6,107,mean,1,1,1,11,0.6875,0.375000,4.2343,0.9862,15.90
wmcodec,2,chinese:SSB0341,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0341/chinese_SSB0341_01.wav,2,4,108,mean,1,1,1,8,0.5000,0.437500,4.4084,0.9891,17.83
wmcodec,2,chinese:SSB0341,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0341/chinese_SSB0341_02.wav,2,5,109,mean,1,1,1,12,0.7500,0.375000,4.4183,0.9892,17.59
wmcodec,2,chinese:SSB0341,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0341/chinese_SSB0341_03.wav,2,4,110,mean,1,1,1,13,0.8125,0.625000,4.4689,0.9930,18.42
wmcodec,2,chinese:SSB0342,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0342/chinese_SSB0342_01.wav,2,5,111,mean,1,1,1,8,0.5000,0.500000,4.4164,0.9899,19.90
wmcodec,2,chinese:SSB0342,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0342/chinese_SSB0342_02.wav,2,2,112,mean,1,1,1,11,0.6875,0.750000,4.3887,0.9897,22.37
wmcodec,2,chinese:SSB0342,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0342/chinese_SSB0342_03.wav,2,3,113,mean,1,1,1,11,0.6875,0.500000,4.3978,0.9885,20.59
wmcodec,2,chinese:SSB0354,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0354/chinese_SSB0354_01.wav,2,6,114,mean,1,1,1,12,0.7500,0.562500,4.4148,0.9903,19.83
wmcodec,2,chinese:SSB0354,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0354/chinese_SSB0354_02.wav,2,3,115,mean,1,1,1,11,0.6875,0.500000,4.4040,0.9874,18.83
wmcodec,2,chinese:SSB0354,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0354/chinese_SSB0354_03.wav,2,6,116,mean,1,1,1,14,0.8750,0.687500,4.4494,0.9915,18.74
wmcodec,2,chinese:SSB0366,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0366/chinese_SSB0366_01.wav,2,4,117,mean,1,1,1,11,0.6875,0.562500,4.3917,0.9861,17.08
wmcodec,2,chinese:SSB0366,1,2,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0366/chinese_SSB0366_02.wav,2,11,118,mean,1,1,1,8,0.5000,0.687500,4.3471,0.9828,15.49
wmcodec,2,chinese:SSB0366,2,3,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0366/chinese_SSB0366_03.wav,2,4,119,mean,1,1,1,9,0.5625,0.500000,4.4055,0.9860,16.21
wmcodec,2,chinese:SSB0375,0,1,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0375/chinese_SSB0375_01.wav,2,2,120,mean,1,1,1,10,0.6250,0.562500,4.3960,0.9905,17.08
